pp_id,pp,nd_id,fl_id,pt_id,set_def_pr,set_def_cain,set_def_ror,set_def_pp,set_def_st,set_def_hyrs,set_def_chp,set_def_add,set_def_rem,set_def_sll,set_def_curt,set_def_lin,set_def_scen,set_def_winsol,set_def_tr,set_def_peak
40,IT_GEO_ELC,4,6,6,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0
41,CH_GEO_ELC,1,6,6,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0
42,AT_WAS_ELC,0,7,7,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0
43,CH_WAS_ELC,1,7,7,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0
44,DE_WAS_ELC,2,7,7,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0
45,FR_WAS_ELC,3,7,7,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0
46,IT_WAS_ELC,4,7,7,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0
47,AT_BAL_ELC,0,15,8,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,0
48,CH_BAL_ELC,1,15,8,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,0
49,DE_BAL_ELC,2,15,8,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,0
50,FR_BAL_ELC,3,15,8,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,0
51,IT_BAL_ELC,4,15,8,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,0
52,AT_OIL_LIN,0,13,15,0,0,0,1,0,0,1,0,0,0,0,1,0,,0,0
53,CH_OIL_LIN,1,13,15,0,0,0,1,0,0,1,0,0,0,0,1,0,,0,0
54,DE_OIL_LIN,2,13,15,0,0,0,1,0,0,1,0,0,0,0,1,0,,0,0
55,FR_OIL_LIN,3,13,15,0,0,0,1,0,0,1,0,0,0,0,1,0,,0,0
56,IT_OIL_LIN,4,13,15,0,0,0,1,0,0,1,0,0,0,0,1,0,,0,0
57,DE_HYD_STO,2,11,9,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0
58,AT_HYD_STO,0,11,9,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0
59,IT_HYD_STO,4,11,9,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0
60,CH_HYD_STO,1,11,9,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0
61,FR_HYD_STO,3,11,9,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0
62,AT_LOL_LIN,0,18,16,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,1
63,CH_LOL_LIN,1,18,16,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,1
64,DE_LOL_LIN,2,18,16,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,1
65,FR_LOL_LIN,3,18,16,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,1
66,IT_LOL_LIN,4,18,16,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,1
67,AT_DMND_FLEX,0,23,17,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0
68,CH_DMND_FLEX,1,23,17,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0
69,DE_DMND_FLEX,2,23,17,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0
70,FR_DMND_FLEX,3,23,17,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0
71,IT_DMND_FLEX,4,23,17,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0
72,AT_NEW_STO,0,19,10,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0
73,CH_NEW_STO,1,19,10,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0
74,DE_NEW_STO,2,19,10,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0
75,FR_NEW_STO,3,19,10,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0
76,IT_NEW_STO,4,19,10,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0
